Title,Schema,Group,Original_word,Synonym,Score,Result,Safeguard2,Cost,Time
10199,nhanes,q1,have little interest in doing things,joy feels distant or unreachable,0.703706,"{'joy feels distant or unreachable': [{'cycle': '2011-2012', 'table': 'nhanes.dpq_g', 'column': 'feeling_down_depressed_or_hopeless', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}, {'cycle': '2013-2014', 'table': 'nhanes.dpq_h', 'column': 'feeling_down_depressed_or_hopeless', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}]}","[""Multiple variables candidates detected for 'joy feels distant or unreachable' across cycles: ['feeling_down_depressed_or_hopeless', 'have_little_interest_in_doing_things']"", '\nSearching for a candidate available in all cycles...', ""Found a candidate that is available from all cycles: 'feeling_down_depressed_or_hopeless'"", ""   (From: 'Mental Health - Depression Screener' - dpq_g)"", '   If you prefer to use other candidates, consider adjusting your time period and replace joy feels distant or unreachable with other candidate\n', ""   Rebuilding results for 'joy feels distant or unreachable' using 'feeling_down_depressed_or_hopeless'.""]","[{'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4122, 'output_tokens': 103, 'total_cost': 0.0014940999999999997, 'formatted_total_cost': '$0.001494'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4122, 'output_tokens': 103, 'total_cost': 0.0014940999999999997, 'formatted_total_cost': '$0.001494'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4078, 'output_tokens': 108, 'total_cost': 0.0014934, 'formatted_total_cost': '$0.001493'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4078, 'output_tokens': 108, 'total_cost': 0.0014934, 'formatted_total_cost': '$0.001493'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 411, 'output_tokens': 28, 'total_cost': 0.00019329999999999998, 'formatted_total_cost': '$0.000193'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 84, 'output_tokens': 13, 'total_cost': 5.769999999999999e-05, 'formatted_total_cost': '$0.000058'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 309, 'output_tokens': 3, 'total_cost': 0.0001002, 'formatted_total_cost': '$0.000100'}]",20.803629
10427,nhanes,q1,have little interest in doing things,lack of motivation or drive,0.386932,"{'lack of motivation or drive': [{'cycle': '2011-2012', 'table': 'nhanes.dpq_g', 'column': 'have_little_interest_in_doing_things', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}, {'cycle': '2013-2014', 'table': 'nhanes.dpq_h', 'column': 'have_little_interest_in_doing_things', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}]}",[],"[{'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4029, 'output_tokens': 108, 'total_cost': 0.0014787, 'formatted_total_cost': '$0.001479'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4029, 'output_tokens': 108, 'total_cost': 0.0014787, 'formatted_total_cost': '$0.001479'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4136, 'output_tokens': 106, 'total_cost': 0.0015058, 'formatted_total_cost': '$0.001506'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4136, 'output_tokens': 106, 'total_cost': 0.0015058, 'formatted_total_cost': '$0.001506'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 309, 'output_tokens': 3, 'total_cost': 0.0001002, 'formatted_total_cost': '$0.000100'}]",14.161336
10822,nhanes,q9,thought you would be better off dead,Feeling like everyone would be relieved if I were gone,0.667433,"{'Feeling like everyone would be relieved if I were gone': [{'cycle': '2011-2012', 'table': 'nhanes.dpq_g', 'column': 'thought_you_would_be_better_off_dead', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}, {'cycle': '2013-2014', 'table': 'nhanes.dpq_h', 'column': 'thought_you_would_be_better_off_dead', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}]}",[],"[{'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3612, 'output_tokens': 113, 'total_cost': 0.0013661, 'formatted_total_cost': '$0.001366'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3612, 'output_tokens': 113, 'total_cost': 0.0013661, 'formatted_total_cost': '$0.001366'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3855, 'output_tokens': 113, 'total_cost': 0.001439, 'formatted_total_cost': '$0.001439'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3855, 'output_tokens': 113, 'total_cost': 0.001439, 'formatted_total_cost': '$0.001439'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 318, 'output_tokens': 3, 'total_cost': 0.0001029, 'formatted_total_cost': '$0.000103'}]",16.033202
10970,nhanes,q5,poor appetite or overeating,consumption patterns completely off balance,0.673803,"{'consumption patterns completely off balance': [{'cycle': '2011-2012', 'table': 'nhanes.dr1tot_g', 'column': 'compare_food_consumed_yesterday_to_usual', 'example_values': ['Usual', 'Much less than usual', 'Much more than usual']}, {'cycle': '2013-2014', 'table': 'nhanes.dr1tot_h', 'column': 'compare_food_consumed_yesterday_to_usual', 'example_values': ['Usual', 'Much less than usual', 'Much more than usual']}]}",[],"[{'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3929, 'output_tokens': 111, 'total_cost': 0.0014562, 'formatted_total_cost': '$0.001456'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 435, 'output_tokens': 95, 'total_cost': 0.00036800000000000005, 'formatted_total_cost': '$0.000368'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 435, 'output_tokens': 95, 'total_cost': 0.00036800000000000005, 'formatted_total_cost': '$0.000368'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3940, 'output_tokens': 109, 'total_cost': 0.0014544999999999998, 'formatted_total_cost': '$0.001454'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 424, 'output_tokens': 95, 'total_cost': 0.00036470000000000003, 'formatted_total_cost': '$0.000365'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 424, 'output_tokens': 95, 'total_cost': 0.00036470000000000003, 'formatted_total_cost': '$0.000365'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 303, 'output_tokens': 3, 'total_cost': 9.84e-05, 'formatted_total_cost': '$0.000098'}]",24.664051
11162,nhanes,q6,feeling bad about yourself,feeling fundamentally flawed or unfixable,0.414904,"{'feeling fundamentally flawed or unfixable': [{'cycle': '2011-2012', 'table': 'nhanes.dpq_g', 'column': 'feeling_bad_about_yourself', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}, {'cycle': '2013-2014', 'table': 'nhanes.dpq_h', 'column': 'feeling_bad_about_yourself', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}]}",[],"[{'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4154, 'output_tokens': 114, 'total_cost': 0.0015312, 'formatted_total_cost': '$0.001531'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4154, 'output_tokens': 114, 'total_cost': 0.0015312, 'formatted_total_cost': '$0.001531'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4174, 'output_tokens': 114, 'total_cost': 0.0015371999999999999, 'formatted_total_cost': '$0.001537'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4174, 'output_tokens': 114, 'total_cost': 0.0015371999999999999, 'formatted_total_cost': '$0.001537'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 303, 'output_tokens': 3, 'total_cost': 9.84e-05, 'formatted_total_cost': '$0.000098'}]",16.148164
11274,nhanes,weight,weight (kg),physical load someone carries,0.573744,"{'physical load someone carries': [{'cycle': '2007-2008', 'table': 'nhanes.pfq_e', 'column': 'lifting_or_carrying_difficulty', 'example_values': ['Unable to do', 'Some difficulty', 'Much difficulty', 'No difficulty', 'Do not do this activity']}, {'cycle': '2009-2010', 'table': 'nhanes.pfq_f', 'column': 'lifting_or_carrying_difficulty', 'example_values': ['Unable to do', 'Some difficulty', 'Much difficulty', 'No difficulty', 'Do not do this activity']}, {'cycle': '2011-2012', 'table': 'nhanes.pfq_g', 'column': 'lifting_or_carrying_difficulty', 'example_values': ['Unable to do', 'Some difficulty', 'Much difficulty', 'No difficulty', 'Do not do this activity']}, {'cycle': '2013-2014', 'table': 'nhanes.pfq_h', 'column': 'lifting_or_carrying_difficulty', 'example_values': ['Unable to do', 'Some difficulty', 'Much difficulty', 'No difficulty', 'Do not do this activity']}, {'cycle': '2015-2016', 'table': 'nhanes.pfq_i', 'column': 'lifting_or_carrying_difficulty', 'example_values': ['Unable to do', 'Some difficulty', 'Much difficulty', 'No difficulty', 'Do not do this activity']}, {'cycle': '2017-2018', 'table': 'nhanes.pfq_j', 'column': 'lifting_or_carrying_difficulty', 'example_values': ['Unable to do', 'Some difficulty', 'Much difficulty', 'No difficulty', 'Do not do this activity']}]}",[],"[{'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3601, 'output_tokens': 126, 'total_cost': 0.0013953, 'formatted_total_cost': '$0.001395'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3601, 'output_tokens': 126, 'total_cost': 0.0013953, 'formatted_total_cost': '$0.001395'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3642, 'output_tokens': 126, 'total_cost': 0.0014076, 'formatted_total_cost': '$0.001408'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3642, 'output_tokens': 126, 'total_cost': 0.0014076, 'formatted_total_cost': '$0.001408'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3498, 'output_tokens': 124, 'total_cost': 0.0013593999999999998, 'formatted_total_cost': '$0.001359'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3498, 'output_tokens': 124, 'total_cost': 0.0013593999999999998, 'formatted_total_cost': '$0.001359'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3472, 'output_tokens': 126, 'total_cost': 0.0013566, 'formatted_total_cost': '$0.001357'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3472, 'output_tokens': 126, 'total_cost': 0.0013566, 'formatted_total_cost': '$0.001357'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3480, 'output_tokens': 126, 'total_cost': 0.001359, 'formatted_total_cost': '$0.001359'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3480, 'output_tokens': 126, 'total_cost': 0.001359, 'formatted_total_cost': '$0.001359'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3678, 'output_tokens': 126, 'total_cost': 0.0014183999999999998, 'formatted_total_cost': '$0.001418'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3678, 'output_tokens': 126, 'total_cost': 0.0014183999999999998, 'formatted_total_cost': '$0.001418'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 574, 'output_tokens': 3, 'total_cost': 0.00017969999999999998, 'formatted_total_cost': '$0.000180'}]",52.649255
11891,nhanes,q5,poor appetite or overeating,turning to food for solace or losing taste for it,0.533297,"{'turning to food for solace or losing taste for it': [{'cycle': '2011-2012', 'table': 'nhanes.dpq_g', 'column': 'poor_appetite_or_overeating', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}, {'cycle': '2013-2014', 'table': 'nhanes.dpq_h', 'column': 'poor_appetite_or_overeating', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}]}",[],"[{'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4003, 'output_tokens': 101, 'total_cost': 0.0014533999999999997, 'formatted_total_cost': '$0.001453'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4003, 'output_tokens': 101, 'total_cost': 0.0014533999999999997, 'formatted_total_cost': '$0.001453'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4088, 'output_tokens': 99, 'total_cost': 0.0014738999999999998, 'formatted_total_cost': '$0.001474'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4088, 'output_tokens': 99, 'total_cost': 0.0014738999999999998, 'formatted_total_cost': '$0.001474'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 312, 'output_tokens': 3, 'total_cost': 0.0001011, 'formatted_total_cost': '$0.000101'}]",15.947198
12029,nhanes,q7,trouble concentrating on things,attention drifts easily,0.322307,"{'attention drifts easily': [{'cycle': '2011-2012', 'table': 'nhanes.dpq_g', 'column': 'trouble_concentrating_on_things', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}, {'cycle': '2013-2014', 'table': 'nhanes.dpq_h', 'column': 'trouble_concentrating_on_things', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}]}",[],"[{'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3917, 'output_tokens': 109, 'total_cost': 0.0014476, 'formatted_total_cost': '$0.001448'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3917, 'output_tokens': 109, 'total_cost': 0.0014476, 'formatted_total_cost': '$0.001448'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3802, 'output_tokens': 109, 'total_cost': 0.0014130999999999998, 'formatted_total_cost': '$0.001413'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3802, 'output_tokens': 109, 'total_cost': 0.0014130999999999998, 'formatted_total_cost': '$0.001413'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 303, 'output_tokens': 3, 'total_cost': 9.84e-05, 'formatted_total_cost': '$0.000098'}]",17.780236
12180,nhanes,q3,trouble sleeping or sleeping too much,lack of restorative rest,0.660883,"{'lack of restorative rest': [{'cycle': '2011-2012', 'table': 'nhanes.dpq_g', 'column': 'trouble_sleeping_or_sleeping_too_much', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}, {'cycle': '2013-2014', 'table': 'nhanes.dpq_h', 'column': 'trouble_sleeping_or_sleeping_too_much', 'example_values': ['Several days', 'Nearly every day', 'Not at all', 'More than half the days']}]}","[""Multiple variables candidates detected for 'lack of restorative rest' across cycles: ['trouble_sleeping_or_sleeping_too_much', 'for_relaxation_stress_sleep']"", '\nSearching for a candidate available in all cycles...', ""Found a candidate that is available from all cycles: 'trouble_sleeping_or_sleeping_too_much'"", ""   (From: 'Dietary Supplement Use 30 Day - Individual Dietary Supplements' - dsqids_g)"", '   If you prefer to use other candidates, consider adjusting your time period and replace lack of restorative rest with other candidate\n', ""   Rebuilding results for 'lack of restorative rest' using 'trouble_sleeping_or_sleeping_too_much'.""]","[{'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4089, 'output_tokens': 86, 'total_cost': 0.0014416999999999998, 'formatted_total_cost': '$0.001442'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4089, 'output_tokens': 86, 'total_cost': 0.0014416999999999998, 'formatted_total_cost': '$0.001442'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4237, 'output_tokens': 108, 'total_cost': 0.0015411000000000001, 'formatted_total_cost': '$0.001541'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 4237, 'output_tokens': 108, 'total_cost': 0.0015411000000000001, 'formatted_total_cost': '$0.001541'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 405, 'output_tokens': 25, 'total_cost': 0.00018399999999999997, 'formatted_total_cost': '$0.000184'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 80, 'output_tokens': 14, 'total_cost': 5.9e-05, 'formatted_total_cost': '$0.000059'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 310, 'output_tokens': 3, 'total_cost': 0.0001005, 'formatted_total_cost': '$0.000101'}]",21.838689
13403,nhanes,serum_creatinine,creatinine (mg/dl),molecular shadow of muscle work,0.781113,"{'molecular shadow of muscle work': [{'cycle': '2007-2008', 'table': 'nhanes.biopro_e', 'column': 'creatinine_umol_l', 'example_values': ['141.44', '132.6', '159.12', '44.2', '114.04']}, {'cycle': '2009-2010', 'table': 'nhanes.biopro_f', 'column': 'creatinine_umol_l', 'example_values': ['125.53', '53.04', '141.44', '132.6', '159.12']}, {'cycle': '2011-2012', 'table': 'nhanes.biopro_g', 'column': 'creatinine_umol_l', 'example_values': ['90.17', '557.8', '125.53', '53.04', '141.44']}, {'cycle': '2013-2014', 'table': 'nhanes.biopro_h', 'column': 'creatinine_umol_l', 'example_values': ['261.66', '90.17', '53.04', '125.53', '141.44']}, {'cycle': '2015-2016', 'table': 'nhanes.biopro_i', 'column': 'creatinine_umol_l', 'example_values': ['141.44', '132.6', '159.12', '44.2', '114.04']}, {'cycle': '2017-2018', 'table': 'nhanes.biopro_j', 'column': 'creatinine_umol_l', 'example_values': ['44.2', '114.04', '49.5', '147.63', '73.37']}]}","[""Multiple variables candidates detected for 'molecular shadow of muscle work' across cycles: ['creatinine_umol_l', 'left_arm_lean_incl_bmc_g', 'total_protein_g_dl', 'did_exercise_make_muscles_sore_painful', 'strenuous_exercise_in_the_past_3_days']"", '\nSearching for a candidate available in all cycles...', ""  - Skipping candidate 'left_arm_lean_incl_bmc_g' (From: 'Dual-Energy X-ray Absorptiometry - Whole Body' - dxx_g). Missing from cycles: [(2007, 2008), (2009, 2010)]"", ""  - Skipping candidate 'did_exercise_make_muscles_sore_painful' (From: 'Creatine Kinase' - ckq_g). Missing from cycles: [(2007, 2008), (2009, 2010), (2015, 2016), (2017, 2018)]"", ""  - Skipping candidate 'strenuous_exercise_in_the_past_3_days' (From: 'Creatine Kinase' - ckq_g). Missing from cycles: [(2007, 2008), (2009, 2010), (2015, 2016), (2017, 2018)]"", ""Found a candidate that is available from all cycles: 'creatinine_umol_l'"", ""   (From: 'Creatine Kinase' - ckq_g)"", '   If you prefer to use other candidates, consider adjusting your time period and replace molecular shadow of muscle work with other candidate\n', ""   Rebuilding results for 'molecular shadow of muscle work' using 'creatinine_umol_l'.""]","[{'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3719, 'output_tokens': 81, 'total_cost': 0.0013182, 'formatted_total_cost': '$0.001318'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3719, 'output_tokens': 81, 'total_cost': 0.0013182, 'formatted_total_cost': '$0.001318'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3788, 'output_tokens': 83, 'total_cost': 0.0013439, 'formatted_total_cost': '$0.001344'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3788, 'output_tokens': 83, 'total_cost': 0.0013439, 'formatted_total_cost': '$0.001344'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3599, 'output_tokens': 102, 'total_cost': 0.0013347, 'formatted_total_cost': '$0.001335'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3599, 'output_tokens': 102, 'total_cost': 0.0013347, 'formatted_total_cost': '$0.001335'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3632, 'output_tokens': 91, 'total_cost': 0.0013170999999999999, 'formatted_total_cost': '$0.001317'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3632, 'output_tokens': 91, 'total_cost': 0.0013170999999999999, 'formatted_total_cost': '$0.001317'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3651, 'output_tokens': 92, 'total_cost': 0.0013253, 'formatted_total_cost': '$0.001325'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3651, 'output_tokens': 92, 'total_cost': 0.0013253, 'formatted_total_cost': '$0.001325'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3536, 'output_tokens': 80, 'total_cost': 0.0012608, 'formatted_total_cost': '$0.001261'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 3536, 'output_tokens': 80, 'total_cost': 0.0012608, 'formatted_total_cost': '$0.001261'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 967, 'output_tokens': 67, 'total_cost': 0.0004576, 'formatted_total_cost': '$0.000458'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 77, 'output_tokens': 10, 'total_cost': 4.8100000000000004e-05, 'formatted_total_cost': '$0.000048'}, {'model_name': 'google_gemini-2.5-flash', 'input_tokens': 659, 'output_tokens': 3, 'total_cost': 0.00020519999999999997, 'formatted_total_cost': '$0.000205'}]",68.285999
