Search Keyword,Cycle,Expected Table,Expected Column,Found,Candidate Rank,Matched Variable,Matched Table,Similarity Score
self-reported diagnosis of diabetes,2005-2006,nhanes.diq_d,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_d,0.7151071
self-reported diagnosis of diabetes,2011-2012,nhanes.diq_g,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_g,0.7151071
self-reported diagnosis of diabetes,2009-2010,nhanes.diq_f,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_f,0.7151071
self-reported diagnosis of diabetes,2007-2008,nhanes.diq_e,doctor_told_you_have_diabetes,True,1,doctor told you have diabetes,nhanes.diq_e,0.7151071
diabetes onset (years),2005-2006,nhanes.diq_d,age_when_first_told_you_had_diabetes,True,2,age when first told you had diabetes,nhanes.diq_d,0.7374362
diabetes onset (years),2011-2012,nhanes.diq_g,age_when_first_told_you_had_diabetes,True,1,age when first told you had diabetes,nhanes.diq_g,0.7374362
diabetes onset (years),2009-2010,nhanes.diq_f,age_when_first_told_you_had_diabetes,True,1,age when first told you had diabetes,nhanes.diq_f,0.7374362
diabetes onset (years),2007-2008,nhanes.diq_e,age_when_first_told_you_had_diabetes,True,2,age when first told you had diabetes,nhanes.diq_e,0.7374362
age at screening (years),2005-2006,nhanes.demo_d,age_in_years_at_screening,True,1,age in years at screening,nhanes.demo_d,0.9867746
age at screening (years),2011-2012,nhanes.demo_g,age_in_years_at_screening,True,1,age in years at screening,nhanes.demo_g,0.9867746
age at screening (years),2009-2010,nhanes.demo_f,age_in_years_at_screening,True,1,age in years at screening,nhanes.demo_f,0.9867746
age at screening (years),2007-2008,nhanes.demo_e,age_in_years_at_screening,True,1,age in years at screening,nhanes.demo_e,0.9867746
pregnant at the time of the exam,2005-2006,nhanes.demo_d,pregnancy_status_at_exam,True,1,pregnancy status at exam,nhanes.demo_d,0.83518887
pregnant at the time of the exam,2011-2012,nhanes.demo_g,pregnancy_status_at_exam,True,1,pregnancy status at exam,nhanes.demo_g,0.83518887
pregnant at the time of the exam,2009-2010,nhanes.demo_f,pregnancy_status_at_exam,True,1,pregnancy status at exam,nhanes.demo_f,0.83518887
pregnant at the time of the exam,2007-2008,nhanes.demo_e,pregnancy_status_at_exam,True,1,pregnancy status at exam,nhanes.demo_e,0.83518887
insulin therapy duration (years),2005-2006,nhanes.diq_d,how_long_taking_insulin,True,1,how long taking insulin,nhanes.diq_d,0.75673616
insulin therapy duration (years),2011-2012,nhanes.diq_g,how_long_taking_insulin,True,1,how long taking insulin,nhanes.diq_g,0.75673616
insulin therapy duration (years),2009-2010,nhanes.diq_f,how_long_taking_insulin,True,1,how long taking insulin,nhanes.diq_f,0.75673616
insulin therapy duration (years),2007-2008,nhanes.diq_e,how_long_taking_insulin,True,1,how long taking insulin,nhanes.diq_e,0.75673616
have little interest in doing things,2005-2006,nhanes.dpq_d,have_little_interest_in_doing_things,True,1,have little interest in doing things,nhanes.dpq_d,1.0
have little interest in doing things,2011-2012,nhanes.dpq_g,have_little_interest_in_doing_things,True,1,have little interest in doing things,nhanes.dpq_g,1.0
