column_name,column_description,table_name,values
synthetic_patient_id,Synthetic patient identifier used only for testing.,patient_demographics,"['SYN-DM-0001', 'SYN-DM-0002', 'SYN-DM-0003']"
age,Synthetic age.,patient_demographics,"['62', '91', '28', '74']"
sex_at_birth,Synthetic sex-at-birth category.,patient_demographics,"['Female', 'Male', 'Intersex', 'Unknown']"
race_group,Synthetic race category.,patient_demographics,"['Asian', 'Black', 'White', 'Other', 'Unknown']"
ethnicity_group,Synthetic ethnicity category.,patient_demographics,"['Hispanic or Latino', 'Not Hispanic or Latino', 'Unknown']"
preferred_language,Synthetic preferred language for care.,patient_demographics,"['English', 'Spanish', 'Mandarin', 'Other']"
insurance_type,Synthetic insurance coverage category.,patient_demographics,"['Commercial', 'Medicare', 'Medicaid', 'Self-pay']"
smoking_status,Synthetic tobacco-use status.,patient_demographics,"['Never', 'Former', 'Current', 'Unknown']"
body_mass_index_group,Synthetic body mass index category.,patient_demographics,"['Underweight', 'Normal', 'Overweight', 'Obesity']"
residential_setting,Synthetic residential setting.,patient_demographics,"['Urban', 'Suburban', 'Rural', 'Unknown']"
diabetes_type,Synthetic diabetes classification.,diabetes_history,"['Type 1', 'Type 2', 'Gestational', 'Other']"
diabetes_duration_years,Synthetic number of years since diabetes diagnosis.,diabetes_history,"['1', '5', '12', '25']"
age_at_diabetes_diagnosis,Synthetic age at diabetes diagnosis in years.,diabetes_history,"['12', '34', '51', '68']"
diabetes_control_status,Synthetic summary of glycemic control.,diabetes_history,"['At goal', 'Above goal', 'Unknown']"
insulin_use_status,Synthetic current insulin-use indicator.,diabetes_history,"['Yes', 'No']"
glucose_monitoring_method,Synthetic glucose-monitoring method.,diabetes_history,"['Fingerstick', 'Continuous monitor', 'Both', 'None']"
hypoglycemia_history,Synthetic history of clinically significant hypoglycemia.,diabetes_history,"['Yes', 'No', 'Unknown']"
diabetic_neuropathy_status,Synthetic diabetic neuropathy status.,diabetes_history,"['Present', 'Absent', 'Unknown']"
diabetic_nephropathy_status,Synthetic diabetic nephropathy status.,diabetes_history,"['Present', 'Absent', 'Unknown']"
diabetic_foot_disease_status,Synthetic diabetic foot disease status.,diabetes_history,"['Present', 'Absent', 'Unknown']"
hba1c_percent,Synthetic glycated hemoglobin percentage.,metabolic_laboratory,"['5.8', '7.1', '8.6', '10.2']"
fasting_glucose_mg_dl,Synthetic fasting glucose result in milligrams per deciliter.,metabolic_laboratory,"['88', '126', '174', '245']"
random_glucose_mg_dl,Synthetic random glucose result in milligrams per deciliter.,metabolic_laboratory,"['102', '168', '231', '310']"
serum_creatinine_mg_dl,Synthetic serum creatinine result in milligrams per deciliter.,metabolic_laboratory,"['0.7', '1.0', '1.5', '2.3']"
egfr_ml_min_1_73m2,Synthetic estimated glomerular filtration rate.,metabolic_laboratory,"['28', '52', '76', '102']"
urine_albumin_creatinine_ratio,Synthetic urine albumin-to-creatinine ratio.,metabolic_laboratory,"['8', '34', '118', '420']"
ldl_cholesterol_mg_dl,Synthetic low-density lipoprotein cholesterol result.,metabolic_laboratory,"['62', '91', '128', '174']"
hdl_cholesterol_mg_dl,Synthetic high-density lipoprotein cholesterol result.,metabolic_laboratory,"['32', '46', '58', '71']"
triglycerides_mg_dl,Synthetic triglyceride result.,metabolic_laboratory,"['88', '149', '226', '410']"
laboratory_fasting_status,Synthetic fasting status at specimen collection.,metabolic_laboratory,"['Fasting', 'Non-fasting', 'Unknown']"
systolic_blood_pressure_mm_hg,Synthetic systolic blood pressure measurement.,systemic_vitals,"['108', '126', '148', '172']"
diastolic_blood_pressure_mm_hg,Synthetic diastolic blood pressure measurement.,systemic_vitals,"['64', '78', '92', '104']"
blood_pressure_control_status,Synthetic blood pressure control category.,systemic_vitals,"['Controlled', 'Elevated', 'Unknown']"
heart_rate_bpm,Synthetic heart rate in beats per minute.,systemic_vitals,"['58', '72', '86', '104']"
weight_kg,Synthetic body weight in kilograms.,systemic_vitals,"['54.2', '72.8', '91.4', '118.0']"
height_cm,Synthetic body height in centimeters.,systemic_vitals,"['152', '165', '178', '190']"
waist_circumference_cm,Synthetic waist circumference in centimeters.,systemic_vitals,"['72', '88', '104', '126']"
antihypertensive_use,Synthetic antihypertensive medication-use indicator.,systemic_vitals,"['Yes', 'No']"
lipid_lowering_therapy_use,Synthetic lipid-lowering therapy indicator.,systemic_vitals,"['Yes', 'No']"
cardiovascular_disease_history,Synthetic cardiovascular disease history.,systemic_vitals,"['Present', 'Absent', 'Unknown']"
visual_acuity_logmar_od,Synthetic right-eye visual acuity in logMAR units.,eye_examination,"['-0.10', '0.00', '0.30', '1.00']"
visual_acuity_logmar_os,Synthetic left-eye visual acuity in logMAR units.,eye_examination,"['-0.10', '0.10', '0.40', '1.30']"
intraocular_pressure_od_mm_hg,Synthetic right-eye intraocular pressure.,eye_examination,"['10', '15', '21', '28']"
intraocular_pressure_os_mm_hg,Synthetic left-eye intraocular pressure.,eye_examination,"['11', '16', '22', '29']"
lens_status_od,Synthetic right-eye lens status.,eye_examination,"['Phakic', 'Pseudophakic', 'Aphakic']"
lens_status_os,Synthetic left-eye lens status.,eye_examination,"['Phakic', 'Pseudophakic', 'Aphakic']"
pupil_dilation_status,Synthetic pupil dilation status during examination.,eye_examination,"['Dilated', 'Not dilated']"
anterior_segment_finding,Synthetic anterior segment summary.,eye_examination,"['Normal', 'Cataract', 'Inflammation', 'Other']"
vitreous_clarity,Synthetic vitreous clarity category.,eye_examination,"['Clear', 'Mild haze', 'Dense opacity']"
exam_quality,Synthetic overall eye examination quality.,eye_examination,"['Good', 'Acceptable', 'Limited']"
